cg_ipo_id,symbol,yahoo_sector,yahoo_industry,sector,instrument,is_financial,is_realestate,source
327,533629.BO,,,Other,equity,0,0,unknown
328,533608.BO,,,Other,equity,0,0,unknown
325,533605.BO,,,Other,equity,0,0,unknown
324,533581.BO,,,Other,equity,0,0,unknown
323,533553.BO,,,Energy,equity,0,0,name
320,,,,Other,equity,0,0,unknown
322,533543.BO,,,Healthcare,equity,0,0,name
321,533540.BO,,,Consumer Discretionary,equity,0,0,name
318,533519.BO,,,Financials,equity,1,0,name
319,533506.BO,,,Financials,equity,1,0,name
317,533499.BO,,,Other,equity,0,0,unknown
316,533482.BO,,,Materials,equity,0,0,name
314,,,,Other,equity,0,0,unknown
315,533470.BO,,,Other,equity,0,0,unknown
313,533427.BO,,,Industrials,equity,0,0,name
312,,,,Other,equity,0,0,unknown
308,,,,Other,equity,0,0,unknown
307,,,,Industrials,equity,0,0,name
305,,,,Industrials,equity,0,0,name
301,,,,Materials,equity,0,0,name
303,,,,Industrials,equity,0,0,name
304,533400.BO,,,Other,equity,0,0,unknown
302,,,,Other,equity,0,0,unknown
300,533398.BO,,,Financials,equity,1,0,name
299,,,,Technology,equity,0,0,name
298,533344.BO,,,Financials,equity,1,0,name
297,533343.BO,,,Other,equity,0,0,unknown
294,533333.BO,,,Materials,equity,0,0,name
296,,,,Technology,equity,0,0,name
295,,,,Consumer Discretionary,equity,0,0,name
293,533317.BO,,,Healthcare,equity,0,0,name
291,,,,Consumer Discretionary,equity,0,0,name
360,534816.BO,,,Industrials,equity,0,0,name
359,534809.BO,,,Consumer Discretionary,equity,0,0,name
358,534804.BO,,,Financials,equity,1,0,name
356,534756.BO,,,Consumer Discretionary,equity,0,0,name
345,,,,Other,equity,0,0,unknown
342,534425.BO,,,Healthcare,equity,0,0,name
339,534369.BO,,,Other,equity,0,0,unknown
338,534312.BO,,,Other,equity,0,0,unknown
337,534309.BO,,,Industrials,equity,0,0,name
336,534190.BO,,,Other,equity,0,0,unknown
177,534091.BO,,,Other,equity,0,0,unknown
377,535648.BO,,,Other,equity,0,0,unknown
369,535322.BO,,,Financials,equity,1,0,name
363,534976.BO,,,Consumer Discretionary,equity,0,0,name
437,538836.BO,,,Other,equity,0,0,unknown
431,538685.BO,,,Consumer Discretionary,equity,0,0,name
430,538666.BO,,,Other,equity,0,0,unknown
428,538635.BO,,,Industrials,equity,0,0,name
418,538268.BO,,,Other,equity,0,0,unknown
513,539551.BO,,,Other,equity,0,0,unknown
512,539523.BO,,,Healthcare,equity,0,0,name
511,539524.BO,,,Other,equity,0,0,unknown
508,539450.BO,,,Other,equity,0,0,unknown
492,539448.BO,,,Other,equity,0,0,unknown
507,539436.BO,,,Consumer Discretionary,equity,0,0,name
494,539346.BO,,,Industrials,equity,0,0,name
491,539351.BO,,,Consumer Discretionary,equity,0,0,name
493,539334.BO,,,Materials,equity,0,0,name
490,,,,Other,equity,0,0,unknown
488,539332.BO,,,Other,equity,0,0,unknown
486,539302.BO,,,Energy,equity,0,0,name
481,539268.BO,,,Other,equity,0,0,unknown
472,539207.BO,,,Consumer Discretionary,equity,0,0,name
469,539150.BO,,,Real Estate,equity,0,1,name
468,539141.BO,,,Other,equity,0,0,unknown
467,539126.BO,,,Real Estate,equity,0,1,name
466,539118.BO,,,Industrials,equity,0,0,name
438,539083.BO,,,Energy,equity,0,0,name
456,539056.BO,,,Consumer Discretionary,equity,0,0,name
455,539015.BO,,,Other,equity,0,0,unknown
606,540222.BO,,,Healthcare,equity,0,0,name
602,540203.BO,,,Other,equity,0,0,unknown
598,540180.BO,,,Consumer Discretionary,equity,0,0,name
599,540173.BO,,,Financials,equity,1,0,name
593,540153.BO,,,Technology,equity,0,0,name
579,540136.BO,,,Energy,equity,0,0,name
571,540133.BO,,,Financials,equity,1,0,name
574,540124.BO,,,Other,equity,0,0,unknown
573,540115.BO,,,Technology,equity,0,0,name
564,540065.BO,,,Financials,equity,1,0,name
563,540048.BO,,,Consumer Discretionary,equity,0,0,name
562,540047.BO,,,Other,equity,0,0,unknown
560,540025.BO,,,Technology,equity,0,0,name
555,540005.BO,,,Technology,equity,0,0,name
552,539978.BO,,,Other,equity,0,0,unknown
551,539957.BO,,,Energy,equity,0,0,name
545,539889.BO,,,Consumer Discretionary,equity,0,0,name
543,539874.BO,,,Financials,equity,1,0,name
541,539871.BO,,,Technology,equity,0,0,name
536,539844.BO,,,Other,equity,0,0,unknown
532,539807.BO,,,Other,equity,0,0,unknown
530,539799.BO,,,Materials,equity,0,0,name
529,HCG.NS,Healthcare,Medical Care Facilities,Healthcare,equity,0,0,yahoo
521,539678.BO,,,Technology,equity,0,0,name
520,539658.BO,,,Other,equity,0,0,unknown
517,539636.BO,,,Other,equity,0,0,unknown
757,ASTRON.BO,Basic Materials,Paper & Paper Products,Materials,equity,0,0,yahoo
771,,,,Other,equity,0,0,unknown
772,SHALBY.NS,Healthcare,Medical Care Facilities,Healthcare,equity,0,0,yahoo
756,540777.BO,,,Financials,equity,1,0,name
755,KHADIM.NS,Consumer Cyclical,Footwear & Accessories,Consumer Discretionary,equity,0,0,yahoo
754,540769.BO,,,Financials,equity,1,0,name
753,540768.BO,,,Industrials,equity,0,0,name
752,,,,Financials,equity,1,0,name
748,540755.BO,,,Financials,equity,1,0,name
746,540750.BO,,,Energy,equity,0,0,name
739,540749.BO,,,Financials,equity,1,0,name
734,540743.BO,,,Consumer Discretionary,equity,0,0,name
707,540724.BO,,,Other,equity,0,0,unknown
713,540719.BO,,,Financials,equity,1,0,name
714,540716.BO,,,Financials,equity,1,0,name
711,540710.BO,,,Industrials,equity,0,0,name
710,540704.BO,,,Other,equity,0,0,unknown
705,540699.BO,,,Technology,equity,0,0,name
703,540700.BO,,,Other,equity,0,0,unknown
698,540692.BO,,,Consumer Discretionary,equity,0,0,name
684,540678.BO,,,Other,equity,0,0,unknown
690,540673.BO,,,Financials,equity,1,0,name
683,540642.BO,,,Technology,equity,0,0,name
672,540611.BO,,,Financials,equity,1,0,name
669,540602.BO,,,Other,equity,0,0,unknown
620,CDSL.NS,Financial Services,Capital Markets,Financials,equity,1,0,yahoo
668,540596.BO,,,Healthcare,equity,0,0,name
667,540595.BO,,,Other,equity,0,0,unknown
660,540544.BO,,,Other,equity,0,0,unknown
645,540530.BO,,,Real Estate,equity,0,1,name
651,540497.BO,,,Other,equity,0,0,unknown
635,SHANKARA.NS,Consumer Cyclical,Home Improvement Retail,Consumer Discretionary,equity,0,0,yahoo
631,540403.BO,,,Consumer Discretionary,equity,0,0,name
615,540376.BO,,,Other,equity,0,0,unknown
623,540366.BO,,,Other,equity,0,0,unknown
611,,,,Other,equity,0,0,unknown
925,AAVAS.NS,Financial Services,Mortgage Finance,Financials,equity,1,0,yahoo
921,GRSE.NS,Industrials,Aerospace & Defense,Industrials,equity,0,0,yahoo
922,IRCON.NS,Industrials,Engineering & Construction,Industrials,equity,0,0,yahoo
900,CREDITACC.NS,Financial Services,Credit Services,Financials,equity,1,0,yahoo
897,HDFCAMC.NS,Financial Services,Asset Management,Financials,equity,1,0,yahoo
904,,,,Other,equity,0,0,unknown
891,VARROC.NS,Consumer Cyclical,Auto Parts,Consumer Discretionary,equity,0,0,yahoo
887,FINEORG.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
886,RITES.NS,Industrials,Engineering & Construction,Industrials,equity,0,0,yahoo
866,INDOSTAR.NS,Financial Services,Credit Services,Financials,equity,1,0,yahoo
846,LEMONTREE.NS,Consumer Cyclical,Lodging,Consumer Discretionary,equity,0,0,yahoo
839,,,,Financials,equity,1,0,name
835,MIDHANI.BO,Basic Materials,Steel,Materials,equity,0,0,yahoo
834,SANDHAR.NS,Consumer Cyclical,Auto Parts,Consumer Discretionary,equity,0,0,yahoo
832,,,,Industrials,equity,0,0,name
831,HAL.NS,Industrials,Aerospace & Defense,Industrials,equity,0,0,yahoo
822,BANDHANBNK.BO,Financial Services,Banks - Regional,Financials,equity,1,0,yahoo
827,541143.BO,,,Other,equity,0,0,unknown
816,HGINFRA.NS,Industrials,Engineering & Construction,Industrials,equity,0,0,yahoo
810,ASTERDM.BO,Healthcare,Medical Care Facilities,Healthcare,equity,0,0,yahoo
798,GALAXYSURF.NS,Basic Materials,Specialty Chemicals,Materials,equity,0,0,yahoo
792,AMBER.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",Consumer Discretionary,equity,0,0,yahoo
791,NEWGEN.NS,Technology,Software - Infrastructure,Technology,equity,0,0,yahoo
788,APOLLO.BO,Industrials,Aerospace & Defense,Industrials,equity,0,0,yahoo
1027,PRINCEPIPE.NS,Industrials,Building Products & Equipment,Industrials,equity,0,0,yahoo
1023,UJJIVANSFB.NS,Financial Services,Banks - Regional,Financials,equity,1,0,yahoo
1021,CSBBANK.NS,Financial Services,Banks - Regional,Financials,equity,1,0,yahoo
1016,VISHWARAJ.NS,Consumer Defensive,Confectioners,Consumer Discretionary,equity,0,0,yahoo
1018,IRCTC.NS,Consumer Cyclical,Travel Services,Consumer Discretionary,equity,0,0,yahoo
1007,,,,Energy,equity,0,0,name
1006,SPANDANA.NS,Financial Services,Credit Services,Financials,equity,1,0,yahoo
1005,AFFLE.NS,Communication Services,Advertising Agencies,Technology,equity,0,0,yahoo
