company,listing_date,issue_price,yahoo_symbol,ret_1d,basis,yahoo_first_date,yahoo_last_date,delisted,ret_6m,ret_12m,ret_24m,bottom_12m_pct,sessions_to_bottom,peak_24m_pct,sessions_to_peak,cg_ipo_id,current_ret,bottom_so_far_pct,bottom_so_far_session
Chalet Hotels Ltd.,2019-02-07,280.0,CHALET.NS,4.2,cg_bridge,2019-02-07,2021-04-16,False,11.2,21.6,-35.9,-2.4,15.0,33.1,188.0,917,,,
Xelpmoc Design & Tech Ltd.,2019-02-04,66.0,XELPMOC.NS,-9.3,cg_bridge,2019-02-04,2021-04-13,False,-2.4,-3.7,371.4,-16.5,117.0,458.9,469.0,936,,,
Antony Waste Handling Cell Ltd.,2021-01-01,315.0,AWHCL.BO,29.3,cg_bridge,2021-01-01,2023-03-10,False,2.2,4.1,-2.6,-22.6,60.0,41.5,172.0,1078,,,
Mrs.Bectors Food Specialities Ltd.,2020-12-24,288.0,BECTORFOOD.NS,106.3,cg_bridge,2020-12-24,2023-03-03,False,39.4,31.4,37.0,15.1,63.0,58.8,141.0,1077,,,
Burger King India Ltd.,2020-12-14,60.0,,,,,,,,,,,,,,1075,,,
Gland Pharma Ltd.,2020-11-20,1500.0,GLAND.NS,21.3,cg_bridge,2020-11-20,2023-01-27,False,111.3,127.9,15.5,21.3,0.0,187.7,179.0,1072,,,
Equitas Small Finance Bank Ltd.,2020-11-02,33.0,EQUITASBNK.BO,-0.6,cg_bridge,2020-11-02,2023-01-10,False,66.0,90.4,50.2,-0.9,5.0,112.0,171.0,1040,,,
Likhitha Infrastructure Ltd.,2020-10-15,120.0,LIKHITHA.NS,13.7,cg_bridge,2020-10-15,2022-12-23,False,208.5,215.5,212.8,10.7,4.0,285.9,162.0,1062,,,
UTI Asset Management Co.Ltd.,2020-10-12,554.0,UTIAMC.NS,-14.0,cg_bridge,2020-10-13,2022-12-20,False,-8.9,80.9,20.8,-19.0,26.0,99.7,219.0,1052,,,
Mazagon Dock Shipbuilders Ltd.,2020-10-12,145.0,MAZDOCK.NS,18.6,cg_bridge,2020-10-12,2022-12-20,False,38.9,85.8,325.4,14.3,17.0,336.5,494.0,1064,,,
Angel Broking Ltd.,2020-10-05,306.0,,,,,,,,,,,,,,1057,,,
Computer Age Management Services Ltd.,2020-10-01,1230.0,CAMS.NS,13.9,cg_bridge,2020-10-05,2022-12-09,False,49.3,142.8,105.5,2.9,21.0,222.0,226.0,1055,,,
Chemcon Speciality Chemicals Ltd.,2020-10-01,340.0,CHEMCON.NS,72.0,cg_bridge,2020-10-01,2022-12-09,False,21.6,27.6,32.2,17.4,19.0,60.9,207.0,1060,,,
Route Mobile Ltd.,2020-09-21,350.0,ROUTE.NS,86.1,cg_bridge,2020-09-21,2022-11-29,False,342.9,457.1,301.0,86.1,0.0,559.1,263.0,1058,,,
Happiest Minds Technologies Ltd.,2020-09-17,166.0,HAPPSTMNDS.NS,123.5,cg_bridge,2020-09-17,2022-11-25,False,217.1,797.5,512.7,86.0,27.0,819.3,207.0,1056,,,
Rossari Biotech Ltd.,2020-07-23,425.0,ROSSARI.NS,74.5,cg_bridge,2020-07-23,2022-09-30,False,104.8,192.9,100.3,60.9,5.0,269.8,304.0,1049,,,
SBI Cards & Payment Services Ltd.,2020-03-16,755.0,,,,,,,,,,,,,,1025,,,
CMS Info Systems Ltd.,2021-12-31,216.0,CMSINFO.NS,10.3,cg_bridge,2021-12-31,2024-03-07,False,6.5,44.7,77.1,0.1,115.0,87.5,473.0,1203,,,
Supriya Lifescience Ltd.,2021-12-28,274.0,SUPRIYA.NS,42.6,cg_bridge,2021-12-28,2024-03-06,False,31.0,-14.9,15.1,-18.5,246.0,15.7,493.0,1197,,,
HP Adhesives Ltd.,2021-12-27,274.0,HPAL.NS,20.7,cg_bridge,2021-12-27,2024-03-05,False,31.3,35.9,88.7,20.7,0.0,95.6,419.0,1194,,,
Data Patterns (India) Ltd.,2021-12-24,585.0,DATAPATTNS.NS,29.1,cg_bridge,2021-12-24,2024-03-01,False,10.8,73.5,235.5,0.1,43.0,322.2,419.0,1190,,,
Medplus Health Services Ltd.,2021-12-23,796.0,MEDPLUS.NS,40.9,cg_bridge,2021-12-23,2024-03-01,False,-6.4,-20.3,-8.7,-27.6,217.0,20.5,397.0,1195,,,
Metro Brands Ltd.,2021-12-22,500.0,METROBRAND.NS,-1.3,cg_bridge,2021-12-22,2024-02-29,False,12.4,66.7,159.9,-12.7,9.0,176.3,482.0,1193,,,
C.E.Info systems Ltd.,2021-12-21,1033.0,MAPMYINDIA.NS,34.9,cg_bridge,2021-12-21,2024-02-28,False,22.8,8.0,97.6,8.0,249.0,120.4,472.0,1187,,,
Shriram Properties Ltd.,2021-12-20,118.0,SHRIRAMPPS.NS,-15.6,cg_bridge,2021-12-20,2024-02-27,False,-48.5,-33.0,-2.9,-48.7,102.0,8.0,485.0,1191,,,
Rategain Travel Technologies Ltd.,2021-12-17,425.0,RATEGAIN.NS,-20.0,cg_bridge,2021-12-17,2024-02-23,False,-38.1,-30.5,64.0,-43.9,133.0,69.7,475.0,1189,,,
Anand Rathi Wealth Ltd.,2021-12-14,550.0,ANANDRATHI.BO,6.1,cg_bridge,2021-12-14,2024-02-21,False,15.1,25.1,371.2,0.1,51.0,384.7,488.0,1186,,,
Tega Industries Ltd.,2021-12-13,453.0,TEGA.NS,60.3,cg_bridge,2021-12-13,2024-02-20,False,0.5,37.5,122.0,-11.7,52.0,138.2,414.0,1185,,,
Star Health & Allied Insurance Co.Ltd.,2021-12-10,900.0,STARHEALTH.NS,0.8,cg_bridge,2021-12-10,2024-02-16,False,-23.6,-33.1,-37.5,-47.3,139.0,-15.3,157.0,1184,,,
Go Fashion (India) Ltd.,2021-11-30,690.0,GOCOLORS.NS,81.7,cg_bridge,2021-11-30,2024-02-07,False,42.8,77.2,92.7,26.1,72.0,104.4,212.0,1181,,,
Tarsons Products Ltd.,2021-11-26,662.0,TARSONS.NS,23.6,cg_bridge,2021-11-26,2024-02-02,False,4.2,4.6,-26.8,-10.1,18.0,31.6,201.0,1179,,,
Latent View Analytics Ltd.,2021-11-23,197.0,LATENTVIEW.NS,148.1,cg_bridge,2021-11-23,2024-01-31,False,106.8,89.9,132.6,57.1,143.0,135.5,495.0,1178,,,
Sapphire Foods India Ltd.,2021-11-18,1180.0,SAPPHIRE.NS,2.7,cg_bridge,2021-11-18,2024-01-25,False,-12.3,13.8,18.3,-20.9,137.0,28.9,450.0,1177,,,
One 97 Communications Ltd.,2021-11-18,2150.0,PAYTM.NS,-27.4,cg_bridge,2021-11-18,2024-01-25,False,-74.2,-74.6,-58.7,-76.0,118.0,-54.1,477.0,1128,,,
Sigachi Industries Ltd.,2021-11-15,163.0,SIGACHI.NS,267.2,cg_bridge,2021-11-15,2024-01-23,False,74.5,70.7,236.8,44.7,148.0,236.8,496.0,1175,,,
S.J.S.Enterprises Ltd.,2021-11-15,542.0,SJS.NS,-5.9,cg_bridge,2021-11-15,2024-01-23,False,-29.9,-11.7,14.7,-37.2,29.0,32.3,453.0,1168,,,
PB Fintech Ltd.,2021-11-15,980.0,POLICYBZR.NS,22.7,cg_bridge,2021-11-15,2024-01-23,False,-31.6,-60.4,-22.0,-61.8,245.0,-18.4,452.0,1172,,,
Fino Payments Bank Ltd.,2021-11-12,577.0,FINOPB.NS,-5.7,cg_bridge,2021-11-12,2024-01-19,False,-55.0,-66.3,-51.9,-67.1,231.0,-35.5,441.0,1166,,,
FSN E-Commerce Ventures Ltd.,2021-11-10,1125.0,NYKAA.NS,96.1,cg_bridge,2021-11-10,2024-01-18,False,13.0,0.4,-20.1,-12.6,240.0,12.9,250.0,1170,,,
Aditya Birla Sun Life AMC Ltd.,2021-10-11,712.0,ABSLAMC.NS,-1.8,cg_bridge,2021-10-11,2023-12-19,False,-25.2,-38.1,-39.4,-43.8,179.0,-30.5,229.0,1151,,,
Paras Defence & Space Technologies Ltd.,2021-10-01,175.0,,,,,,,,,,,,,,1153,,,
Sansera Engineering Ltd.,2021-09-24,744.0,SANSERA.NS,10.0,cg_bridge,2021-09-24,2023-12-01,False,-24.3,-5.1,26.4,-24.3,124.0,30.1,460.0,1149,,,
Vijaya Diagnostic Centre Ltd.,2021-09-14,531.0,VIJAYA.NS,16.8,cg_bridge,2021-09-14,2023-11-22,False,-23.4,-23.8,-8.3,-43.4,186.0,-1.9,488.0,1145,,,
Ami Organics Ltd.,2021-09-14,610.0,,,,,,,,,,,,,,1143,,,
Chemplast Sanmar Ltd.,2021-08-24,541.0,CHEMPLASTS.BO,-1.0,cg_bridge,2021-08-24,2023-11-01,False,-11.6,-21.7,-5.6,-27.5,204.0,-5.6,497.0,1141,,,
Aptus Value Housing Finance India Ltd.,2021-08-24,353.0,APTUS.NS,-1.7,cg_bridge,2021-08-24,2023-11-01,False,-4.2,-4.5,-24.2,-36.3,202.0,2.1,258.0,1140,,,
Nuvoco Vistas Corp.Ltd.,2021-08-23,570.0,NUVOCO.NS,-6.7,cg_bridge,2021-08-23,2023-10-31,False,-38.0,-40.9,-40.0,-53.5,205.0,-20.1,268.0,1133,,,
CarTrade Tech Ltd.,2021-08-20,1618.0,CARTRADE.NS,-7.2,cg_bridge,2021-08-20,2023-10-27,False,-63.7,-60.8,-69.4,-70.5,129.0,-55.6,265.0,1137,,,
Krsnaa Diagnostics Ltd.,2021-08-16,954.0,KRSNAA.NS,3.5,cg_bridge,2021-08-16,2023-10-23,False,-33.9,-51.3,-48.4,-51.7,247.0,-38.0,449.0,1138,,,
Devyani International Ltd.,2021-08-16,90.0,DEVYANI.NS,37.2,cg_bridge,2021-08-16,2023-10-23,False,80.6,125.9,121.6,24.6,7.0,135.6,249.0,1136,,,
Windlas Biotech Ltd.,2021-08-16,460.0,WINDLAS.NS,-11.5,cg_bridge,2021-08-16,2023-10-23,False,-40.6,-53.5,-14.3,-55.4,209.0,-14.3,496.0,1135,,,
Exxaro Tiles Ltd.,2021-08-16,120.0,EXXARO.NS,10.3,cg_bridge,2021-08-16,2023-10-23,False,0.0,-10.3,-1.2,-15.3,178.0,17.9,349.0,1134,,,
Rolex Rings Ltd.,2021-08-09,900.0,ROLEXRINGS.NS,29.7,cg_bridge,2021-08-09,2023-10-17,False,43.5,100.4,143.1,13.7,35.0,152.4,482.0,1129,,,
Glenmark Life Sciences Ltd.,2021-08-06,720.0,,,,,,,,,,,,,,1124,,,
Tatva Chintan Pharma Chem Ltd.,2021-07-29,1083.0,TATVA.NS,113.5,cg_bridge,2021-07-29,2023-10-06,False,122.2,114.0,50.4,85.7,9.0,165.7,65.0,1127,,,
Zomato Ltd.,2021-07-23,76.0,,,,,,,,,,,,,,1126,,,
Clean Science & Technology Ltd.,2021-07-19,900.0,CLEAN.NS,76.1,cg_bridge,2021-07-19,2023-09-26,False,181.7,87.9,46.2,58.8,26.0,195.8,115.0,1123,,,
G R Infraprojects Ltd.,2021-07-19,837.0,GRINFRA.NS,108.7,cg_bridge,2021-07-19,2023-09-26,False,132.0,49.1,56.0,30.6,237.0,69.1,266.0,1122,,,
India Pesticides Ltd.,2021-07-05,296.0,IPL.NS,15.9,cg_bridge,2021-07-05,2023-09-12,False,9.9,-15.4,-25.3,-30.4,237.0,9.4,303.0,1119,,,
Krishna Institute of Medical Sciences Ltd.,2021-06-28,825.0,KIMS.NS,20.8,cg_bridge,2021-06-28,2023-09-05,False,61.6,40.0,116.6,14.8,2.0,121.1,493.0,1115,,,
Dodla Dairy Ltd.,2021-06-28,428.0,DODLA.NS,42.5,cg_bridge,2021-06-28,2023-09-05,False,27.3,12.7,37.8,-3.8,166.0,37.8,497.0,1114,,,
Sona BLW Precision Forgings Ltd.,2021-06-24,291.0,SONACOMS.NS,24.1,cg_bridge,2021-06-24,2023-09-01,False,140.0,99.3,74.2,17.6,4.0,182.7,116.0,1112,,,
Shyam Metalics & Energy Ltd.,2021-06-24,306.0,,,,,,,,,,,,,,1109,,,
Macrotech Developers Ltd.,2021-04-19,486.0,LODHA.NS,-4.3,cg_bridge,2021-04-19,2023-06-27,False,143.6,114.4,96.0,-4.3,0.0,206.7,154.0,1107,,,
Barbeque-Nation Hospitality Ltd.,2021-04-07,500.0,,,,,,,,,,,,,,1102,,,
Nazara Technologies Ltd.,2021-03-30,1101.0,NAZARA.NS,44.6,cg_bridge,2021-03-30,2023-06-07,False,110.6,46.1,-8.0,33.2,1.0,190.9,132.0,1092,,,
Suryoday Small Finance Bank Ltd.,2021-03-26,305.0,SURYODAY.NS,-8.9,cg_bridge,2021-03-26,2023-06-02,False,-40.7,-66.7,-68.5,-66.7,246.0,-50.3,258.0,1099,,,
Kalyan Jewellers India Ltd.,2021-03-26,87.0,KALYANKJIL.NS,-13.6,cg_bridge,2021-03-26,2023-06-02,False,-20.1,-31.5,34.0,-35.7,227.0,50.8,435.0,1098,,,
Laxmi Organic Industries Ltd.,2021-03-25,130.0,LXCHEM.NS,26.5,cg_bridge,2021-03-25,2023-06-02,False,324.2,214.7,85.8,26.5,0.0,360.1,116.0,1096,,,
Craftsman Automation Ltd.,2021-03-25,1490.0,CRAFTSMAN.NS,-3.6,cg_bridge,2021-03-25,2023-06-02,False,43.7,41.0,102.6,-14.5,16.0,143.4,439.0,1095,,,
Anupam Rasayan India Ltd.,2021-03-24,555.0,ANURAS.NS,-5.1,cg_bridge,2021-03-24,2023-06-01,False,36.3,55.8,54.1,-13.5,3.0,91.3,192.0,1097,,,
Easy Trip Planners Ltd.,2021-03-19,187.0,EASEMYTRIP.NS,11.5,cg_bridge,2021-03-19,2023-05-26,False,254.2,237.1,297.9,-8.5,19.0,485.2,414.0,1089,,,
MTAR Technologies Ltd.,2021-03-15,575.0,MTARTECH.BO,88.3,cg_bridge,2021-03-15,2023-05-23,False,144.6,242.6,183.5,55.7,39.0,328.7,198.0,1088,,,
Heranba Industries Ltd.,2021-03-05,627.0,HERANBA.NS,0.0,cg_bridge,2021-03-05,2023-05-12,False,-2.4,-28.8,-60.4,-29.2,241.0,-18.2,253.0,1085,,,
RailTel Corp.of India Ltd.,2021-02-26,94.0,RAILTEL.NS,29.1,cg_bridge,2021-02-26,2023-05-05,False,32.8,1.2,15.4,-0.7,246.0,53.0,432.0,1073,,,
Nureca Ltd.,2021-02-25,400.0,NURECA.NS,61.4,cg_bridge,2021-02-25,2023-05-05,False,296.8,238.8,-12.4,44.4,11.0,430.4,152.0,1084,,,
Stove Kraft Ltd.,2021-02-05,385.0,STOVEKRAFT.NS,15.8,cg_bridge,2021-02-08,2023-04-13,False,107.8,122.6,15.5,11.3,27.0,181.4,170.0,1081,,,
Home First Finance Co.India Ltd.,2021-02-03,518.0,HOMEFIRST.NS,1.8,cg_bridge,2021-02-03,2023-04-13,False,14.1,48.6,42.1,-14.6,45.0,87.2,389.0,1080,,,
Indigo Paints Ltd.,2021-02-02,1490.0,INDIGOPNTS.NS,109.2,cg_bridge,2021-02-02,2023-04-12,False,75.7,33.8,-22.8,28.5,221.0,43.0,226.0,1079,,,
Indian Railway Finance Corp.Ltd.,2021-01-29,26.0,IRFC.NS,-4.6,cg_bridge,2021-01-29,2023-04-06,False,-11.5,-11.4,20.4,-19.8,48.0,37.1,468.0,1076,,,
Sah Polymers Ltd.,2023-01-12,65.0,,,,,,,,,,,,,,1347,,,
Radiant Cash Management Services Ltd.,2023-01-04,94.0,RADIANTCMS.NS,11.6,cg_bridge,2023-01-04,2025-03-13,False,-1.8,-4.6,-19.5,-7.0,233.0,-0.4,266.0,1355,,,
Elin Electronics Ltd.,2022-12-30,247.0,ELIN.NS,-7.8,cg_bridge,2022-12-30,2025-03-07,False,-30.8,-40.1,-16.3,-52.2,61.0,7.5,419.0,1346,,,
KFin Technologies Ltd.,2022-12-29,366.0,KFINTECH.NS,-0.6,cg_bridge,2022-12-29,2025-03-07,False,-5.3,31.9,313.0,-25.5,55.0,335.0,489.0,1354,,,
Landmark Cars Ltd.,2022-12-23,506.0,LANDMARK.NS,-9.4,cg_bridge,2022-12-23,2025-02-28,False,41.7,60.3,25.0,-12.0,1.0,70.6,242.0,1338,,,
Abans Holdings Ltd.,2022-12-23,270.0,,,,,,,,,,,,,,1350,,,
Sula Vineyards Ltd.,2022-12-22,357.0,SULA.NS,-7.2,cg_bridge,2022-12-22,2025-02-28,False,31.5,31.8,16.1,-13.0,1.0,87.9,258.0,1345,,,
Uniparts India Ltd.,2022-12-12,577.0,UNIPARTS.NS,-6.5,cg_bridge,2022-12-12,2025-02-18,False,-1.6,-4.7,-26.3,-12.1,68.0,23.1,160.0,1324,,,
Dharmaj Crop Guard Ltd.,2022-12-08,237.0,DHARMAJ.NS,12.4,cg_bridge,2022-12-08,2025-02-14,False,-26.4,10.9,35.3,-40.8,77.0,58.2,424.0,1339,,,
Keystone Realtors Ltd.,2022-11-24,541.0,RUSTOMJEE.NS,2.9,cg_bridge,2022-11-24,2025-01-31,False,-6.8,-0.8,32.2,-21.1,105.0,42.4,429.0,1336,,,
Inox Green Energy Services Ltd.,2022-11-23,65.0,INOXGREEN.NS,-9.1,cg_bridge,2022-11-23,2025-01-30,False,-29.4,6.1,120.3,-40.5,96.0,239.7,445.0,1335,,,
Kaynes Technology India Ltd.,2022-11-22,587.0,KAYNES.NS,17.5,cg_bridge,2022-11-22,2025-01-29,False,117.5,324.4,889.8,15.9,23.0,900.5,483.0,1321,,,
Archean Chemical Industries Ltd.,2022-11-21,407.0,ACI.NS,12.6,cg_bridge,2022-11-21,2025-01-28,False,33.4,29.0,66.6,11.8,1.0,102.2,313.0,1334,,,
Five-Star Business Finance Ltd.,2022-11-21,474.0,FIVESTAR.NS,3.4,cg_bridge,2022-11-21,2025-01-28,False,11.7,69.5,34.3,3.4,0.0,90.0,469.0,1327,,,
